Name	Group	Profile	Enabled	Action	Override	Program	Local Address	Remote Address	Protocol	Local Port	Remote Port	Authorized Users	Authorized Computers	Authorized Local Principals	Local User Owner	PolicyAppId	Application Package	
7Launcher GTA 5 In		All	Yes	Allow	No	C:\Program Files\GTA V\Run_GTAV.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
7Launcher GTA 5 In		All	Yes	Allow	No	C:\Program Files\GTA V\Run_GTAV.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
adb		All	Yes	Allow	No	d:\program files\txgameassistant\ui\adb.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
adb		All	Yes	Allow	No	d:\program files\txgameassistant\ui\adb.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
AndroidEmulator		All	Yes	Allow	No	d:\program files\txgameassistant\ui\AndroidEmulator.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
AndroidEmulator		All	Yes	Allow	No	d:\program files\txgameassistant\ui\AndroidEmulator.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
AndroidEmulatorEn		All	Yes	Allow	No	d:\program files\txgameassistant\ui\AndroidEmulatorEn.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
AndroidEmulatorEn		All	Yes	Allow	No	d:\program files\txgameassistant\ui\AndroidEmulatorEn.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
AndroidEmulatorEx		All	Yes	Allow	No	d:\program files\txgameassistant\ui\AndroidEmulatorEx.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
AndroidEmulatorEx		All	Yes	Allow	No	d:\program files\txgameassistant\ui\AndroidEmulatorEx.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
anydesk.exe		Public	Yes	Allow	No	C:\users\home\downloads\anydesk.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
